"icao","delivery","ground","tower","departure","approach","center"
"8CA8",\N,\N,\N,\N,\N,\N
"8TA0",\N,\N,\N,\N,\N,\N
"8TS9",\N,\N,\N,\N,\N,\N
"8XS8",\N,\N,\N,\N,\N,\N
"91TS",\N,\N,\N,\N,\N,\N
"91TX",\N,\N,\N,\N,\N,\N
"92CA",\N,\N,\N,\N,\N,\N
"92XS",\N,\N,\N,\N,\N,\N
"94TX",\N,\N,\N,\N,\N,\N
"95TX",\N,\N,\N,\N,\N,\N
"97FL",\N,\N,\N,\N,\N,\N
"99CL",\N,\N,\N,\N,\N,\N
"9CA7",\N,\N,\N,\N,\N,\N
"9CL2",\N,\N,\N,\N,\N,\N
"9NC0",\N,\N,\N,\N,\N,\N
"9OI5",\N,\N,\N,\N,\N,\N
"9SD9",\N,\N,\N,\N,\N,\N
"9TE2",\N,\N,\N,\N,\N,\N
"9TX5",\N,\N,\N,\N,\N,\N
"AF-0020",\N,\N,\N,\N,\N,\N
"AGGH",\N,\N,\N,\N,\N,\N
"AGGM",\N,\N,\N,\N,\N,\N
"AL-0013",\N,\N,\N,\N,\N,\N
"AL12",\N,\N,\N,\N,\N,\N
"ANYN",\N,\N,\N,\N,\N,\N
"AQ-0013",\N,\N,\N,\N,\N,\N
"AQ-0014",\N,\N,\N,\N,\N,\N
"AR-0009",\N,\N,\N,\N,\N,\N
"AR-0035",\N,\N,\N,\N,\N,\N
"AR-0038",\N,\N,\N,\N,\N,\N
"AR-0079",\N,\N,\N,\N,\N,\N
"AR-0137",\N,\N,\N,\N,\N,\N
"AR-0158",\N,\N,\N,\N,\N,\N
"AR-0305",\N,\N,\N,\N,\N,\N
"AR-0399",\N,\N,\N,\N,\N,\N
"AR-0736",\N,\N,\N,\N,\N,\N
"AR-0743",\N,\N,\N,\N,\N,\N
"AR-0744",\N,\N,\N,\N,\N,\N
"AR-0748",\N,\N,\N,\N,\N,\N
"AU-0005",\N,\N,\N,\N,\N,\N
"AU-0014",\N,\N,\N,\N,\N,\N
"AU-0018",\N,\N,\N,\N,\N,\N
"AU-0038",\N,\N,\N,\N,\N,\N
"AU-0044",\N,\N,\N,\N,\N,\N
"AU-0045",\N,\N,\N,\N,\N,\N
"AU-0050",\N,\N,\N,\N,\N,\N
"AU-0054",\N,\N,\N,\N,\N,\N
"AU-0060",\N,\N,\N,\N,\N,\N
"AU-0220",\N,\N,\N,\N,\N,\N
"AU-0221",\N,\N,\N,\N,\N,\N
"AU-0225",\N,\N,\N,\N,\N,\N
"AU-0251",\N,\N,\N,\N,\N,\N
"AU-0324",\N,\N,\N,\N,\N,\N
"AU-0351",\N,\N,\N,\N,\N,\N
"AU-0428",\N,\N,\N,\N,\N,\N
"AU-0429",\N,\N,\N,\N,\N,\N
"AU-0430",\N,\N,\N,\N,\N,\N
"AU-0627",\N,\N,\N,\N,\N,\N
"AU-0664",\N,\N,\N,\N,\N,\N
"AU-0665",\N,\N,\N,\N,\N,\N
"AU-0666",\N,\N,\N,\N,\N,\N
"AU-0671",\N,\N,\N,\N,\N,\N
"AU-0672",\N,\N,\N,\N,\N,\N
"AU-0673",\N,\N,\N,\N,\N,\N
"AU-0677",\N,\N,\N,\N,\N,\N
"AU-0678",\N,\N,\N,\N,\N,\N
"AU-0679",\N,\N,\N,\N,\N,\N
"AU-0680",\N,\N,\N,\N,\N,\N
"AU-0681",\N,\N,\N,\N,\N,\N
"AU-0685",\N,\N,\N,\N,\N,\N
"AU-0686",\N,\N,\N,\N,\N,\N
"AU-0687",\N,\N,\N,\N,\N,\N
"AU-0688",\N,\N,\N,\N,\N,\N
"AU-0689",\N,\N,\N,\N,\N,\N
"AU-0690",\N,\N,\N,\N,\N,\N
"AU-0691",\N,\N,\N,\N,\N,\N
"AU-0692",\N,\N,\N,\N,\N,\N
"AU-0693",\N,\N,\N,\N,\N,\N
"AU-0703",\N,\N,\N,\N,\N,\N
"AYBK",\N,\N,\N,\N,\N,\N
"AYDU",\N,\N,\N,\N,\N,\N
"AYGA",\N,\N,\N,\N,\N,\N
"AYGN",\N,\N,\N,\N,\N,\N
"AYHK",\N,\N,\N,\N,\N,\N
"AYKM",\N,\N,\N,\N,\N,\N
"AYKV",\N,\N,\N,\N,\N,\N
"AYMD",\N,\N,\N,\N,\N,\N
"AYMH",\N,\N,\N,\N,\N,\N
"AYMO",\N,\N,\N,\N,\N,\N
"AYNZ",\N,\N,\N,\N,\N,\N
"AYPY",\N,\N,\N,\N,\N,\N
"AYTK",\N,\N,\N,\N,\N,\N
"AYVN",\N,\N,\N,\N,\N,\N
"AYWK",\N,\N,\N,\N,\N,\N
"AZ82",\N,\N,\N,\N,\N,\N
"BA-0001",\N,\N,\N,\N,\N,\N
"BGBW",\N,\N,\N,\N,\N,\N
"BGCO",\N,\N,\N,\N,\N,\N
"BGGH",\N,\N,\N,\N,\N,\N
"BGNN",\N,\N,\N,\N,\N,\N
"BGNO",\N,\N,\N,\N,\N,\N
"BGNS",\N,\N,\N,\N,\N,\N
"BGQQ",\N,\N,\N,\N,\N,\N
"BGSF",\N,\N,\N,\N,\N,\N
"BGSS",\N,\N,\N,\N,\N,\N
"BGTL",\N,\N,\N,\N,\N,\N
"BGUK",\N,\N,\N,\N,\N,\N
"BIAR",\N,\N,\N,\N,\N,\N
"BIBD",\N,\N,\N,\N,\N,\N
"BIEG",\N,\N,\N,\N,\N,\N
"BIHN",\N,\N,\N,\N,\N,\N
"BIHU",\N,\N,\N,\N,\N,\N
"BIIS",\N,\N,\N,\N,\N,\N
"BIKF",\N,\N,\N,\N,\N,\N
"BIMS",\N,\N,\N,\N,\N,\N
"BIPA",\N,\N,\N,\N,\N,\N
"BIRK",\N,\N,\N,\N,\N,\N
"BISA",\N,\N,\N,\N,\N,\N
"BISI",\N,\N,\N,\N,\N,\N
"BISS",\N,\N,\N,\N,\N,\N
"BITN",\N,\N,\N,\N,\N,\N
"BIVM",\N,\N,\N,\N,\N,\N
"BKPR",\N,\N,\N,\N,\N,\N
"BR-1941",\N,\N,\N,\N,\N,\N
"BR-1959",\N,\N,\N,\N,\N,\N
"BR-1960",\N,\N,\N,\N,\N,\N
"BR-1961",\N,\N,\N,\N,\N,\N
"BR-1962",\N,\N,\N,\N,\N,\N
"BS-0018",\N,\N,\N,\N,\N,\N
"BY-9935",\N,\N,\N,\N,\N,\N
"CA-0084",\N,\N,\N,\N,\N,\N
"CA-0088",\N,\N,\N,\N,\N,\N
"CA-0118",\N,\N,\N,\N,\N,\N
"CA-0159",\N,\N,\N,\N,\N,\N
"CA-0304",\N,\N,\N,\N,\N,\N
"CA-0307",\N,\N,\N,\N,\N,\N
"CA-0380",\N,\N,\N,\N,\N,\N
"CA-0393",\N,\N,\N,\N,\N,\N
"CA-0430",\N,\N,\N,\N,\N,\N
"CA-0444",\N,\N,\N,\N,\N,\N
"CA-0454",\N,\N,\N,\N,\N,\N
"CA-0456",\N,\N,\N,\N,\N,\N
"CA-0457",\N,\N,\N,\N,\N,\N
"CA-0463",\N,\N,\N,\N,\N,\N
"CA-0464",\N,\N,\N,\N,\N,\N
"CA-0497",\N,\N,\N,\N,\N,\N
"CA-0506",\N,\N,\N,\N,\N,\N
"CA-0508",\N,\N,\N,\N,\N,\N
"CA-0516",\N,\N,\N,\N,\N,\N
"CA-0517",\N,\N,\N,\N,\N,\N
"CA-0523",\N,\N,\N,\N,\N,\N
"CA-0524",\N,\N,\N,\N,\N,\N
"CA-0526",\N,\N,\N,\N,\N,\N
"CA-0534",\N,\N,\N,\N,\N,\N
"CA-0684",\N,\N,\N,\N,\N,\N
"CA-0750",\N,\N,\N,\N,\N,\N
"CA-0772",\N,\N,\N,\N,\N,\N
"CA-0903",\N,\N,\N,\N,\N,\N
"CA-1018",\N,\N,\N,\N,\N,\N
"CA-1019",\N,\N,\N,\N,\N,\N
"CA-1029",\N,\N,\N,\N,\N,\N
"CA-1037",\N,\N,\N,\N,\N,\N
"CA-1043",\N,\N,\N,\N,\N,\N
"CA-1070",\N,\N,\N,\N,\N,\N
"CA-1071",\N,\N,\N,\N,\N,\N
"CA-1076",\N,\N,\N,\N,\N,\N
"CA-1077",\N,\N,\N,\N,\N,\N
"CA-1079",\N,\N,\N,\N,\N,\N
"CA-1084",\N,\N,\N,\N,\N,\N
"CA-1088",\N,\N,\N,\N,\N,\N
"CA-1095",\N,\N,\N,\N,\N,\N
"CA-1101",\N,\N,\N,\N,\N,\N
"CA-1108",\N,\N,\N,\N,\N,\N
"CA-1109",\N,\N,\N,\N,\N,\N
"CA-1110",\N,\N,\N,\N,\N,\N
"CA-1151",\N,\N,\N,\N,\N,\N
"CA-1153",\N,\N,\N,\N,\N,\N
"CA-1155",\N,\N,\N,\N,\N,\N
"CA20",\N,\N,\N,\N,\N,\N
"CA42",\N,\N,\N,\N,\N,\N
"CA60",\N,\N,\N,\N,\N,\N
"CA62",\N,\N,\N,\N,\N,\N
"CA73",\N,\N,\N,\N,\N,\N
"CA92",\N,\N,\N,\N,\N,\N
"CAA2",\N,\N,\N,\N,\N,\N
"CAA8",\N,\N,\N,\N,\N,\N
"CAD4",\N,\N,\N,\N,\N,\N
"CAD5",\N,\N,\N,\N,\N,\N
"CAH3",\N,\N,\N,\N,\N,\N
"CAH4",\N,\N,\N,\N,\N,\N
"CAJ2",\N,\N,\N,\N,\N,\N
"CAJ3",\N,\N,\N,\N,\N,\N
"CAJ4",\N,\N,\N,\N,\N,\N
"CAJ7",\N,\N,\N,\N,\N,\N
"CAK3",\N,\N,\N,\N,\N,\N
"CAL3",\N,\N,\N,\N,\N,\N
"CAM3",\N,\N,\N,\N,\N,\N
"CAM4",\N,\N,\N,\N,\N,\N
"CAM5",\N,\N,\N,\N,\N,\N
"CAQ5",\N,\N,\N,\N,\N,\N
"CAR4",\N,\N,\N,\N,\N,\N
"CAR5",\N,\N,\N,\N,\N,\N
"CAT4",\N,\N,\N,\N,\N,\N
"CAU3",\N,\N,\N,\N,\N,\N
"CAU4",\N,\N,\N,\N,\N,\N
"CAV6",\N,\N,\N,\N,\N,\N
"CAY5",\N,\N,\N,\N,\N,\N
"CAZ5",\N,\N,\N,\N,\N,\N
"CBB9",\N,\N,\N,\N,\N,\N
"CBBC",\N,\N,\N,\N,\N,\N
"CBF2",\N,\N,\N,\N,\N,\N
"CBG8",\N,\N,\N,\N,\N,\N
"CBJ4",\N,\N,\N,\N,\N,\N
"CBM4",\N,\N,\N,\N,\N,\N
"CBN7",\N,\N,\N,\N,\N,\N
"CBQ8",\N,\N,\N,\N,\N,\N
"CBR2",\N,\N,\N,\N,\N,\N
"CBS8",\N,\N,\N,\N,\N,\N
"CBU2",\N,\N,\N,\N,\N,\N
"CBX7",\N,\N,\N,\N,\N,\N
"CBZ9",\N,\N,\N,\N,\N,\N
"CCA3",\N,\N,\N,\N,\N,\N
"CCC2",\N,\N,\N,\N,\N,\N
"CCE3",\N,\N,\N,\N,\N,\N
"CCE6",\N,\N,\N,\N,\N,\N
"CCF4",\N,\N,\N,\N,\N,\N
"CCG3",\N,\N,\N,\N,\N,\N
"CCG4",\N,\N,\N,\N,\N,\N
"CCK5",\N,\N,\N,\N,\N,\N
"CCN2",\N,\N,\N,\N,\N,\N
"CCN4",\N,\N,\N,\N,\N,\N
"CCP2",\N,\N,\N,\N,\N,\N
"CCQ3",\N,\N,\N,\N,\N,\N
"CCR3",\N,\N,\N,\N,\N,\N
"CCS3",\N,\N,\N,\N,\N,\N
"CCS4",\N,\N,\N,\N,\N,\N
"CCT2",\N,\N,\N,\N,\N,\N
"CCW3",\N,\N,\N,\N,\N,\N
"CCW4",\N,\N,\N,\N,\N,\N
"CCZ3",\N,\N,\N,\N,\N,\N
"CD-0042",\N,\N,\N,\N,\N,\N
"CDA4",\N,\N,\N,\N,\N,\N
"CDA5",\N,\N,\N,\N,\N,\N
"CDJ4",\N,\N,\N,\N,\N,\N
"CDL8",\N,\N,\N,\N,\N,\N
"CDT5",\N,\N,\N,\N,\N,\N
"CDU6",\N,\N,\N,\N,\N,\N
"CDV2",\N,\N,\N,\N,\N,\N
"CDY3",\N,\N,\N,\N,\N,\N
"CDY6",\N,\N,\N,\N,\N,\N
"CEA3",\N,\N,\N,\N,\N,\N
"CEA5",\N,\N,\N,\N,\N,\N
"CEA6",\N,\N,\N,\N,\N,\N
"CEB5",\N,\N,\N,\N,\N,\N
"CEC4",\N,\N,\N,\N,\N,\N
"CED3",\N,\N,\N,\N,\N,\N
"CED5",\N,\N,\N,\N,\N,\N
"CED8",\N,\N,\N,\N,\N,\N
"CEE5",\N,\N,\N,\N,\N,\N
"CEF2",\N,\N,\N,\N,\N,\N
"CEF3",\N,\N,\N,\N,\N,\N
"CEF4",\N,\N,\N,\N,\N,\N
"CEG3",\N,\N,\N,\N,\N,\N
"CEG4",\N,\N,\N,\N,\N,\N
"CEH2",\N,\N,\N,\N,\N,\N
"CEH3",\N,\N,\N,\N,\N,\N
"CEH4",\N,\N,\N,\N,\N,\N
"CEH5",\N,\N,\N,\N,\N,\N
"CEH6",\N,\N,\N,\N,\N,\N
"CEJ3",\N,\N,\N,\N,\N,\N
"CEJ4",\N,\N,\N,\N,\N,\N
"CEJ6",\N,\N,\N,\N,\N,\N
"CEK6",\N,\N,\N,\N,\N,\N
"CEL3",\N,\N,\N,\N,\N,\N
"CEL4",\N,\N,\N,\N,\N,\N
"CEL5",\N,\N,\N,\N,\N,\N
"CEM4",\N,\N,\N,\N,\N,\N
"CEM5",\N,\N,\N,\N,\N,\N
"CEN3",\N,\N,\N,\N,\N,\N
"CEN4",\N,\N,\N,\N,\N,\N
"CEN5",\N,\N,\N,\N,\N,\N
"CEP3",\N,\N,\N,\N,\N,\N
"CEQ3",\N,\N,\N,\N,\N,\N
"CEQ4",\N,\N,\N,\N,\N,\N
"CER2",\N,\N,\N,\N,\N,\N
"CER3",\N,\N,\N,\N,\N,\N
"CER4",\N,\N,\N,\N,\N,\N
"CES2",\N,\N,\N,\N,\N,\N
"CES3",\N,\N,\N,\N,\N,\N
"CES4",\N,\N,\N,\N,\N,\N
"CET4",\N,\N,\N,\N,\N,\N
"CET9",\N,\N,\N,\N,\N,\N
"CEU2",\N,\N,\N,\N,\N,\N
"CEV3",\N,\N,\N,\N,\N,\N
"CEV7",\N,\N,\N,\N,\N,\N
"CEW3",\N,\N,\N,\N,\N,\N
"CEW9",\N,\N,\N,\N,\N,\N
"CEX3",\N,\N,\N,\N,\N,\N
"CEY3",\N,\N,\N,\N,\N,\N
"CEZ3",\N,\N,\N,\N,\N,\N
"CEZ4",\N,\N,\N,\N,\N,\N
"CFB6",\N,\N,\N,\N,\N,\N
"CFC6",\N,\N,\N,\N,\N,\N
"CFD4",\N,\N,\N,\N,\N,\N
"CFD5",\N,\N,\N,\N,\N,\N
"CFF7",\N,\N,\N,\N,\N,\N
"CFG3",\N,\N,\N,\N,\N,\N
"CFG6",\N,\N,\N,\N,\N,\N
"CFH4",\N,\N,\N,\N,\N,\N
"CFL2",\N,\N,\N,\N,\N,\N
"CFN5",\N,\N,\N,\N,\N,\N
"CFN7",\N,\N,\N,\N,\N,\N
"CFP7",\N,\N,\N,\N,\N,\N
"CFQ4",\N,\N,\N,\N,\N,\N
"CFS5",\N,\N,\N,\N,\N,\N
"CFS6",\N,\N,\N,\N,\N,\N
"CFT8",\N,\N,\N,\N,\N,\N
"CFU9",\N,\N,\N,\N,\N,\N
"CFW2",\N,\N,\N,\N,\N,\N
"CFX2",\N,\N,\N,\N,\N,\N
"CFX4",\N,\N,\N,\N,\N,\N
"CFX8",\N,\N,\N,\N,\N,\N
"CFY4",\N,\N,\N,\N,\N,\N
"CGL2",\N,\N,\N,\N,\N,\N
"CGR2",\N,\N,\N,\N,\N,\N
"CGV6",\N,\N,\N,\N,\N,\N
"CHD4",\N,\N,\N,\N,\N,\N
"CHF2",\N,\N,\N,\N,\N,\N
"CJA3",\N,\N,\N,\N,\N,\N
"CJB3",\N,\N,\N,\N,\N,\N
"CJB8",\N,\N,\N,\N,\N,\N
"CJC5",\N,\N,\N,\N,\N,\N
"CJD5",\N,\N,\N,\N,\N,\N
"CJE3",\N,\N,\N,\N,\N,\N
"CJF3",\N,\N,\N,\N,\N,\N
"CJJ4",\N,\N,\N,\N,\N,\N
"CJJ8",\N,\N,\N,\N,\N,\N
"CJK4",\N,\N,\N,\N,\N,\N
"CJL6",\N,\N,\N,\N,\N,\N
"CJM5",\N,\N,\N,\N,\N,\N
"CJQ3",\N,\N,\N,\N,\N,\N
"CJQ4",\N,\N,\N,\N,\N,\N
"CJQ6",\N,\N,\N,\N,\N,\N
"CJR2",\N,\N,\N,\N,\N,\N
"CJR4",\N,\N,\N,\N,\N,\N
"CJV4",\N,\N,\N,\N,\N,\N
"CJV5",\N,\N,\N,\N,\N,\N
"CJW5",\N,\N,\N,\N,\N,\N
"CJX5",\N,\N,\N,\N,\N,\N
"CJY3",\N,\N,\N,\N,\N,\N
"CJZ3",\N,\N,\N,\N,\N,\N
"CKB7",\N,\N,\N,\N,\N,\N
"CKD5",\N,\N,\N,\N,\N,\N
"CKE8",\N,\N,\N,\N,\N,\N
"CKF8",\N,\N,\N,\N,\N,\N
"CKG8",\N,\N,\N,\N,\N,\N
"CKH2",\N,\N,\N,\N,\N,\N
"CKL5",\N,\N,\N,\N,\N,\N
"CKQ5",\N,\N,\N,\N,\N,\N
"CKQ6",\N,\N,\N,\N,\N,\N
"CL-0020",\N,\N,\N,\N,\N,\N
"CL35",\N,\N,\N,\N,\N,\N
"CL46",\N,\N,\N,\N,\N,\N
"CLA5",\N,\N,\N,\N,\N,\N
"CLA6",\N,\N,\N,\N,\N,\N
"CLB2",\N,\N,\N,\N,\N,\N
"CLC2",\N,\N,\N,\N,\N,\N
"CLG3",\N,\N,\N,\N,\N,\N
"CLM2",\N,\N,\N,\N,\N,\N
"CLV2",\N,\N,\N,\N,\N,\N
"CLW3",\N,\N,\N,\N,\N,\N
"CLW6",\N,\N,\N,\N,\N,\N
"CMA2",\N,\N,\N,\N,\N,\N
"CMB2",\N,\N,\N,\N,\N,\N
"CMB7",\N,\N,\N,\N,\N,\N
"CMF2",\N,\N,\N,\N,\N,\N
"CMF3",\N,\N,\N,\N,\N,\N
"CMN5",\N,\N,\N,\N,\N,\N
"CMW3",\N,\N,\N,\N,\N,\N
"CMZ2",\N,\N,\N,\N,\N,\N
"CN-0080",\N,\N,\N,\N,\N,\N
"CN-0164",\N,\N,\N,\N,\N,\N
"CN-0316",\N,\N,\N,\N,\N,\N
"CN-0321",\N,\N,\N,\N,\N,\N
"CN-0443",\N,\N,\N,\N,\N,\N
"CNA3",\N,\N,\N,\N,\N,\N
"CNA9",\N,\N,\N,\N,\N,\N
"CNC2",\N,\N,\N,\N,\N,\N
"CNC3",\N,\N,\N,\N,\N,\N
"CNC4",\N,\N,\N,\N,\N,\N
"CND4",\N,\N,\N,\N,\N,\N
"CNE4",\N,\N,\N,\N,\N,\N
"CNE9",\N,\N,\N,\N,\N,\N
"CNF3",\N,\N,\N,\N,\N,\N
"CNF4",\N,\N,\N,\N,\N,\N
"CNJ3",\N,\N,\N,\N,\N,\N
"CNJ4",\N,\N,\N,\N,\N,\N
"CNK4",\N,\N,\N,\N,\N,\N
"CNK9",\N,\N,\N,\N,\N,\N
"CNL3",\N,\N,\N,\N,\N,\N
"CNM3",\N,\N,\N,\N,\N,\N
"CNN3",\N,\N,\N,\N,\N,\N
"CNP3",\N,\N,\N,\N,\N,\N
"CNP6",\N,\N,\N,\N,\N,\N
"CNP7",\N,\N,\N,\N,\N,\N
"CNP8",\N,\N,\N,\N,\N,\N
"CNQ3",\N,\N,\N,\N,\N,\N
"CNQ4",\N,\N,\N,\N,\N,\N
"CNR4",\N,\N,\N,\N,\N,\N
"CNR6",\N,\N,\N,\N,\N,\N
"CNS3",\N,\N,\N,\N,\N,\N
"CNS4",\N,\N,\N,\N,\N,\N
"CNU8",\N,\N,\N,\N,\N,\N
"CNV3",\N,\N,\N,\N,\N,\N
"CNV4",\N,\N,\N,\N,\N,\N
"CNV8",\N,\N,\N,\N,\N,\N
"CNV9",\N,\N,\N,\N,\N,\N
"CNW3",\N,\N,\N,\N,\N,\N
"CNY3",\N,\N,\N,\N,\N,\N
"CNY4",\N,\N,\N,\N,\N,\N
"CNZ4",\N,\N,\N,\N,\N,\N
"CNZ8",\N,\N,\N,\N,\N,\N
"CO00",\N,\N,\N,\N,\N,\N
"CO15",\N,\N,\N,\N,\N,\N
"CO55",\N,\N,\N,\N,\N,\N
"CO90",\N,\N,\N,\N,\N,\N
"COB4",\N,\N,\N,\N,\N,\N
"COL2",\N,\N,\N,\N,\N,\N
"COP2",\N,\N,\N,\N,\N,\N
"COR3",\N,\N,\N,\N,\N,\N
"CPA4",\N,\N,\N,\N,\N,\N
"CPB8",\N,\N,\N,\N,\N,\N
"CPB9",\N,\N,\N,\N,\N,\N
"CPC3",\N,\N,\N,\N,\N,\N
"CPC7",\N,\N,\N,\N,\N,\N
"CPE2",\N,\N,\N,\N,\N,\N
"CPE4",\N,\N,\N,\N,\N,\N
"CPF2",\N,\N,\N,\N,\N,\N
"CPF4",\N,\N,\N,\N,\N,\N
"CPF6",\N,\N,\N,\N,\N,\N
"CPG5",\N,\N,\N,\N,\N,\N
"CPG7",\N,\N,\N,\N,\N,\N
"CPH2",\N,\N,\N,\N,\N,\N
"CPK7",\N,\N,\N,\N,\N,\N
